ensgene,WT1,WT2,WT3,KO1,KO2,KO3
ENSMUSG00000001583,681 ,572 ,501 ,277 ,238 ,267 
ENSMUSG00000086454,3584 ,2676 ,2624 ,1674 ,923 ,1277 
ENSMUSG00000099370,4090 ,3144 ,2917 ,2546 ,2043 ,2032 
ENSMUSG00000024565,178 ,152 ,121 ,419 ,379 ,370 
ENSMUSG00000013787,7322 ,5609 ,5258 ,4592 ,3897 ,4069 
ENSMUSG00000055653,1414 ,1039 ,1036 ,736 ,601 ,635 
ENSMUSG00000039329,2535 ,1943 ,1879 ,1259 ,719 ,924 
ENSMUSG00000078956,149 ,97 ,110 ,14 ,14 ,16 
ENSMUSG00000021262,2832 ,2183 ,1893 ,1605 ,1314 ,1310 
ENSMUSG00000004069,3622 ,2933 ,2553 ,2050 ,1842 ,1818 
ENSMUSG00000004071,1659 ,1230 ,1180 ,899 ,746 ,752 
ENSMUSG00000032501,754 ,525 ,500 ,1584 ,1000 ,1239 
ENSMUSG00000053626,94 ,83 ,65 ,281 ,300 ,250 
ENSMUSG00000022770,4848 ,3812 ,3460 ,2918 ,2558 ,2593 
ENSMUSG00000027797,85 ,61 ,64 ,274 ,205 ,243 
ENSMUSG00000067919,5646 ,4502 ,4100 ,3070 ,2966 ,2792 
ENSMUSG00000046598,1105 ,832 ,777 ,444 ,451 ,444 
ENSMUSG00000026116,5215 ,3991 ,3855 ,6804 ,6130 ,6156 
ENSMUSG00000053617,5338 ,3949 ,3812 ,3115 ,2734 ,2831 
ENSMUSG00000023791,986 ,794 ,788 ,519 ,408 ,408 
ENSMUSG00000030168,5696 ,4316 ,4075 ,3241 ,3017 ,2874 
ENSMUSG00000031503,4298 ,3385 ,3029 ,2114 ,2137 ,1965 
ENSMUSG00000079330,147 ,122 ,104 ,450 ,385 ,292 
ENSMUSG00000022913,2248 ,1706 ,1647 ,1338 ,1019 ,1041 
ENSMUSG00000054753,3321 ,2537 ,2371 ,1984 ,1677 ,1747 
ENSMUSG00000023034,1413 ,1093 ,966 ,2108 ,1717 ,1727 
ENSMUSG00000003166,3723 ,2671 ,2580 ,2027 ,1846 ,1754 
ENSMUSG00000025504,901 ,641 ,632 ,405 ,323 ,361 
ENSMUSG00000019927,906 ,668 ,751 ,414 ,364 ,338 
ENSMUSG00000002845,4060 ,3275 ,2861 ,2399 ,2122 ,2009 
ENSMUSG00000004040,3468 ,2640 ,2444 ,4528 ,3856 ,3920 
ENSMUSG00000005718,1645 ,1249 ,1120 ,865 ,723 ,765 
ENSMUSG00000030541,3698 ,2852 ,2594 ,2038 ,1894 ,1849 
ENSMUSG00000074796,521 ,385 ,358 ,870 ,721 ,777 
ENSMUSG00000036743,444 ,383 ,332 ,161 ,154 ,138 
ENSMUSG00000036109,353 ,275 ,242 ,113 ,87 ,100 
ENSMUSG00000030342,4460 ,3351 ,3247 ,2429 ,2318 ,2206 
ENSMUSG00000022487,2404 ,1806 ,1820 ,3652 ,2801 ,2920 
ENSMUSG00000052837,1459 ,1135 ,962 ,2216 ,1759 ,1821 
ENSMUSG00000005981,9607 ,7291 ,6913 ,6060 ,4322 ,4774 
ENSMUSG00000037031,464 ,355 ,337 ,171 ,156 ,145 
ENSMUSG00000026872,235 ,181 ,175 ,480 ,411 ,447 
ENSMUSG00000044562,747 ,589 ,534 ,345 ,290 ,299 
ENSMUSG00000022656,2107 ,1614 ,1528 ,1262 ,979 ,1017 
ENSMUSG00000058135,2634 ,1950 ,1744 ,1493 ,1201 ,1230 
ENSMUSG00000043613,2710 ,1979 ,1853 ,3900 ,4294 ,3778 
ENSMUSG00000022956,7672 ,5702 ,5655 ,4904 ,4067 ,3863 
ENSMUSG00000067586,318 ,253 ,210 ,604 ,687 ,595 
ENSMUSG00000047139,1999 ,1623 ,1464 ,3130 ,2361 ,2532 
ENSMUSG00000031502,6901 ,5339 ,5001 ,3038 ,3304 ,3137 
ENSMUSG00000022021,1261 ,966 ,893 ,639 ,557 ,579 
ENSMUSG00000051483,1642 ,1294 ,1236 ,944 ,648 ,696 
ENSMUSG00000028364,18527 ,13869 ,12811 ,26829 ,31796 ,27353 
ENSMUSG00000039835,2007 ,1403 ,1395 ,3238 ,2290 ,2649 
ENSMUSG00000023087,2016 ,1604 ,1404 ,2783 ,2493 ,2472 
ENSMUSG00000053930,90 ,45 ,68 ,1044 ,443 ,741 
ENSMUSG00000087097,247 ,177 ,164 ,502 ,719 ,594 
ENSMUSG00000022519,3006 ,2329 ,2116 ,1796 ,1256 ,1362 
ENSMUSG00000060636,14410 ,11101 ,10983 ,9531 ,6952 ,7342 
ENSMUSG00000049624,794 ,661 ,599 ,1414 ,1046 ,1198 
ENSMUSG00000047714,3261 ,2535 ,2433 ,1744 ,1605 ,1718 
ENSMUSG00000021403,418 ,323 ,332 ,159 ,140 ,122 
ENSMUSG00000050240,4505 ,3283 ,3182 ,2429 ,2312 ,2089 
ENSMUSG00000111481,393 ,314 ,272 ,725 ,573 ,621 
ENSMUSG00000022742,1425 ,1112 ,947 ,750 ,562 ,626 
ENSMUSG00000049502,1979 ,1554 ,1458 ,959 ,533 ,757 
ENSMUSG00000017631,5034 ,3729 ,3530 ,3163 ,2634 ,2685 
ENSMUSG00000004151,901 ,699 ,659 ,1491 ,1115 ,1235 
ENSMUSG00000084883,1642 ,1219 ,1102 ,817 ,759 ,698 
ENSMUSG00000112349,336 ,303 ,278 ,673 ,713 ,653 
ENSMUSG00000033752,464 ,333 ,334 ,122 ,151 ,126 
ENSMUSG00000047414,287 ,213 ,215 ,552 ,685 ,600 
ENSMUSG00000022962,22570 ,16956 ,16206 ,15064 ,11290 ,12034 
ENSMUSG00000025810,105 ,95 ,83 ,276 ,321 ,305 
ENSMUSG00000050335,1070 ,977 ,880 ,586 ,481 ,498 
ENSMUSG00000030739,1170 ,798 ,760 ,547 ,393 ,458 
ENSMUSG00000021018,1695 ,1313 ,1185 ,982 ,775 ,756 
ENSMUSG00000036782,36652 ,29008 ,26678 ,9471 ,4455 ,6947 
ENSMUSG00000048332,258 ,156 ,173 ,472 ,480 ,464 
ENSMUSG00000049493,517 ,403 ,397 ,188 ,146 ,200 
ENSMUSG00000052353,135 ,127 ,96 ,346 ,290 ,326 
ENSMUSG00000022679,469 ,360 ,382 ,182 ,172 ,149 
ENSMUSG00000021701,1738 ,1353 ,1196 ,2678 ,3150 ,2607 
ENSMUSG00000100969,1597 ,1252 ,1132 ,2662 ,3577 ,2769 
ENSMUSG00000029231,297 ,273 ,240 ,604 ,671 ,617 
ENSMUSG00000029313,650 ,532 ,499 ,1069 ,890 ,957 
ENSMUSG00000027500,5750 ,4403 ,4133 ,3801 ,3155 ,3145 
ENSMUSG00000050071,8252 ,6145 ,5949 ,4332 ,4348 ,3843 
ENSMUSG00000026069,1340 ,1012 ,942 ,2149 ,2573 ,2025 
ENSMUSG00000024427,1797 ,1489 ,1330 ,2966 ,3524 ,2790 
ENSMUSG00000042751,2471 ,1830 ,1694 ,3351 ,3428 ,3145 
ENSMUSG00000037995,1548 ,1149 ,1062 ,817 ,648 ,739 
ENSMUSG00000020241,583 ,442 ,406 ,905 ,861 ,826 
ENSMUSG00000044456,252 ,183 ,196 ,38 ,60 ,52 
ENSMUSG00000001119,820 ,651 ,530 ,1272 ,1288 ,1159 
ENSMUSG00000048126,622 ,471 ,453 ,960 ,854 ,902 
ENSMUSG00000041782,367 ,292 ,287 ,141 ,119 ,115 
ENSMUSG00000053774,4342 ,3484 ,3256 ,2679 ,2285 ,2477 
ENSMUSG00000017723,1214 ,884 ,868 ,659 ,511 ,535 
ENSMUSG00000024665,2488 ,1892 ,1798 ,1515 ,1128 ,1262 
ENSMUSG00000026674,337 ,261 ,229 ,594 ,669 ,594 
ENSMUSG00000042506,9740 ,7436 ,6850 ,6486 ,5159 ,5513 
ENSMUSG00000004356,7728 ,5863 ,5593 ,9468 ,8267 ,8439 
ENSMUSG00000052551,1617 ,1407 ,1443 ,3895 ,2360 ,2942 
ENSMUSG00000037855,706 ,576 ,585 ,1224 ,1375 ,1187 
ENSMUSG00000047844,3336 ,2518 ,2285 ,2048 ,1690 ,1626 
ENSMUSG00000006200,360 ,272 ,233 ,67 ,102 ,72 
ENSMUSG00000020300,855 ,648 ,596 ,1239 ,1125 ,1104 
ENSMUSG00000078671,2707 ,2028 ,1948 ,3616 ,2916 ,3035 
ENSMUSG00000001901,600 ,488 ,366 ,990 ,849 ,911 
ENSMUSG00000028906,2911 ,2096 ,2052 ,1677 ,1215 ,1428 
ENSMUSG00000000325,1575 ,1129 ,1134 ,850 ,693 ,762 
